"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"39017","Butler County, Ohio",2019,1,0.271428571428571,4.60133693977579,176.393632942342
"39017","Butler County, Ohio",2020,1,0.271428571428571,4.59771667514811,177.134471191574
"39017","Butler County, Ohio",2021,1,0.271428571428571,4.58883651224619,178.784787906427
"39017","Butler County, Ohio",2022,1,0.271428571428571,4.57730979274042,180.906633979206
"39025","Clermont County, Ohio",2012,1,1.28571428571429,4.55431512199948,176.493292690229
"39025","Clermont County, Ohio",2013,1,1.28571428571429,4.55251361752982,181.969912190083
"39025","Clermont County, Ohio",2014,1,1.28571428571429,4.54454352586006,183.752541689263
"39025","Clermont County, Ohio",2015,1,1.28571428571429,4.55933184942759,179.940049291076
"39025","Clermont County, Ohio",2016,1,1.28571428571429,4.57389747956358,175.069297339566
"39025","Clermont County, Ohio",2017,1,1.28571428571429,4.48117438149128,187.516841105418
"39025","Clermont County, Ohio",2018,1,1.28571428571429,4.45778307535392,193.024407269422
"39025","Clermont County, Ohio",2019,1,1.28571428571429,4.45564728121211,192.773690368366
"39025","Clermont County, Ohio",2020,1,1.28571428571429,4.44504161372808,196.534433480919
"39025","Clermont County, Ohio",2021,1,1.28571428571429,4.42479759752611,203.112285804396
"39025","Clermont County, Ohio",2022,1,1.28571428571429,4.41047150306743,210.389855373541
"39027","Clinton County, Ohio",2012,1,0.391304347826087,4.4810677817411,185.86275917205
"39027","Clinton County, Ohio",2013,1,0.391304347826087,4.49654451599219,183.989197530864
"39027","Clinton County, Ohio",2014,1,0.391304347826087,4.48630054553397,186.693296143891
"39027","Clinton County, Ohio",2015,1,0.391304347826087,4.4877443520223,182.435729029837
"39027","Clinton County, Ohio",2016,1,0.391304347826087,4.46823969190821,192.644023268906
"39027","Clinton County, Ohio",2017,1,0.391304347826087,4.02434115296025,250.092455621302
"39027","Clinton County, Ohio",2018,1,0.391304347826087,4.0261879085577,246.527814618723
"39027","Clinton County, Ohio",2019,1,0.391304347826087,4.06396901799048,241.883454734651
"39027","Clinton County, Ohio",2020,1,0.391304347826087,4.04774403995013,239.434724476854
"39027","Clinton County, Ohio",2021,1,0.391304347826087,4.03377137626499,244.780480677917
"39027","Clinton County, Ohio",2022,1,0.391304347826087,4.04165431133214,250.945903337687
"39035","Cuyahoga County, Ohio",2012,1,0.342261904761905,4.69766525049673,153.400882027782
"39035","Cuyahoga County, Ohio",2013,1,0.342261904761905,4.69202480761402,154.583002692479
"39035","Cuyahoga County, Ohio",2014,1,0.342261904761905,4.68601460499263,156.334218349373
